,model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
632,KIA Rio,1.6,4,Auto-L4,2WD,Gasoline,small car,7.0,25.0,35.0,29.0,8,yes,KIA Rio,1.6,4.0,SemiAuto-6,2WD,Gasoline,small car,3,28.0,37.0,32.0,7,Yes
633,KIA Rio,1.6,4,Man-5,2WD,Gasoline,small car,7.0,27.0,32.0,29.0,8,yes,KIA Rio,1.6,4.0,Man-6,2WD,Gasoline,small car,3,29.0,37.0,32.0,7,Yes
634,KIA Rio,1.6,4,Man-5,2WD,Gasoline,small car,7.0,27.0,32.0,29.0,8,yes,KIA Rio,1.6,4.0,SemiAuto-6,2WD,Gasoline,small car,3,28.0,37.0,32.0,7,Yes
635,KIA Sedona,3.8,6,Auto-L5,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5,no,KIA Sedona,3.3,6.0,SemiAuto-6,2WD,Gasoline,minivan,3,18.0,24.0,20.0,4,No
636,KIA Sorento,3.8,6,Auto-L5,2WD,Gasoline,SUV,6.0,15.0,21.0,17.0,4,no,KIA Sorento,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,20.0,27.0,23.0,5,No
637,KIA Sorento,3.8,6,Auto-L5,2WD,Gasoline,SUV,6.0,15.0,21.0,17.0,4,no,KIA Sorento,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,19.0,25.0,22.0,4,No
638,KIA Sorento,3.8,6,Auto-L5,2WD,Gasoline,SUV,6.0,15.0,21.0,17.0,4,no,KIA Sorento,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,21.0,28.0,24.0,5,No
639,KIA Sorento,3.8,6,Auto-L5,2WD,Gasoline,SUV,6.0,15.0,21.0,17.0,4,no,KIA Sorento,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,21.0,25.0,22.0,4,No
640,KIA Sorento,3.8,6,Auto-L5,2WD,Gasoline,SUV,6.0,15.0,21.0,17.0,4,no,KIA Sorento,3.3,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3,18.0,25.0,20.0,4,No
641,KIA Sorento,3.8,6,Auto-L5,2WD,Gasoline,SUV,6.0,15.0,21.0,17.0,4,no,KIA Sorento,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3,17.0,23.0,19.0,3,No
642,KIA Sorento,3.8,6,Auto-L5,4WD,Gasoline,SUV,6.0,15.0,20.0,17.0,4,no,KIA Sorento,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,20.0,27.0,23.0,5,No
643,KIA Sorento,3.8,6,Auto-L5,4WD,Gasoline,SUV,6.0,15.0,20.0,17.0,4,no,KIA Sorento,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,19.0,25.0,22.0,4,No
644,KIA Sorento,3.8,6,Auto-L5,4WD,Gasoline,SUV,6.0,15.0,20.0,17.0,4,no,KIA Sorento,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,21.0,28.0,24.0,5,No
645,KIA Sorento,3.8,6,Auto-L5,4WD,Gasoline,SUV,6.0,15.0,20.0,17.0,4,no,KIA Sorento,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,21.0,25.0,22.0,4,No
646,KIA Sorento,3.8,6,Auto-L5,4WD,Gasoline,SUV,6.0,15.0,20.0,17.0,4,no,KIA Sorento,3.3,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3,18.0,25.0,20.0,4,No
647,KIA Sorento,3.8,6,Auto-L5,4WD,Gasoline,SUV,6.0,15.0,20.0,17.0,4,no,KIA Sorento,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3,17.0,23.0,19.0,3,No
648,KIA Sportage,2.0,4,Auto-L4,2WD,Gasoline,SUV,7.0,19.0,25.0,21.0,6,yes,KIA Sportage,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,21.0,26.0,23.0,5,No
649,KIA Sportage,2.0,4,Auto-L4,2WD,Gasoline,SUV,7.0,19.0,25.0,21.0,6,yes,KIA Sportage,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,20.0,23.0,21.0,4,No
650,KIA Sportage,2.0,4,Auto-L4,2WD,Gasoline,SUV,7.0,19.0,25.0,21.0,6,yes,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,7,22.0,29.0,25.0,5,No
651,KIA Sportage,2.0,4,Auto-L4,2WD,Gasoline,SUV,7.0,19.0,25.0,21.0,6,yes,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,22.0,29.0,25.0,5,No
652,KIA Sportage,2.0,4,Auto-L4,2WD,Gasoline,SUV,7.0,19.0,25.0,21.0,6,yes,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,7,21.0,25.0,23.0,5,No
653,KIA Sportage,2.0,4,Auto-L4,2WD,Gasoline,SUV,7.0,19.0,25.0,21.0,6,yes,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,21.0,25.0,23.0,5,No
654,KIA Sportage,2.0,4,Man-5,2WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6,yes,KIA Sportage,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,21.0,26.0,23.0,5,No
655,KIA Sportage,2.0,4,Man-5,2WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6,yes,KIA Sportage,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,20.0,23.0,21.0,4,No
656,KIA Sportage,2.0,4,Man-5,2WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6,yes,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,7,22.0,29.0,25.0,5,No
657,KIA Sportage,2.0,4,Man-5,2WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6,yes,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,22.0,29.0,25.0,5,No
658,KIA Sportage,2.0,4,Man-5,2WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6,yes,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,7,21.0,25.0,23.0,5,No
659,KIA Sportage,2.0,4,Man-5,2WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6,yes,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,21.0,25.0,23.0,5,No
660,KIA Sportage,2.0,4,Man-5,4WD,Gasoline,SUV,7.0,19.0,24.0,21.0,6,yes,KIA Sportage,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,21.0,26.0,23.0,5,No
661,KIA Sportage,2.0,4,Man-5,4WD,Gasoline,SUV,7.0,19.0,24.0,21.0,6,yes,KIA Sportage,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,20.0,23.0,21.0,4,No
662,KIA Sportage,2.0,4,Man-5,4WD,Gasoline,SUV,7.0,19.0,24.0,21.0,6,yes,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,7,22.0,29.0,25.0,5,No
663,KIA Sportage,2.0,4,Man-5,4WD,Gasoline,SUV,7.0,19.0,24.0,21.0,6,yes,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,22.0,29.0,25.0,5,No
664,KIA Sportage,2.0,4,Man-5,4WD,Gasoline,SUV,7.0,19.0,24.0,21.0,6,yes,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,7,21.0,25.0,23.0,5,No
665,KIA Sportage,2.0,4,Man-5,4WD,Gasoline,SUV,7.0,19.0,24.0,21.0,6,yes,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,21.0,25.0,23.0,5,No
666,KIA Sportage,2.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,17.0,23.0,20.0,6,no,KIA Sportage,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,21.0,26.0,23.0,5,No
667,KIA Sportage,2.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,17.0,23.0,20.0,6,no,KIA Sportage,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,20.0,23.0,21.0,4,No
668,KIA Sportage,2.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,17.0,23.0,20.0,6,no,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,7,22.0,29.0,25.0,5,No
669,KIA Sportage,2.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,17.0,23.0,20.0,6,no,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,22.0,29.0,25.0,5,No
670,KIA Sportage,2.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,17.0,23.0,20.0,6,no,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,7,21.0,25.0,23.0,5,No
671,KIA Sportage,2.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,17.0,23.0,20.0,6,no,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,21.0,25.0,23.0,5,No
672,KIA Sportage,2.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,21.0,19.0,5,no,KIA Sportage,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,21.0,26.0,23.0,5,No
673,KIA Sportage,2.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,21.0,19.0,5,no,KIA Sportage,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,20.0,23.0,21.0,4,No
674,KIA Sportage,2.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,21.0,19.0,5,no,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,7,22.0,29.0,25.0,5,No
675,KIA Sportage,2.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,21.0,19.0,5,no,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,22.0,29.0,25.0,5,No
676,KIA Sportage,2.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,21.0,19.0,5,no,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,7,21.0,25.0,23.0,5,No
677,KIA Sportage,2.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,21.0,19.0,5,no,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,21.0,25.0,23.0,5,No
678,LEXUS LX 570,5.7,8,Auto-S6,4WD,Gasoline,SUV,7.0,12.0,18.0,14.0,2,no,LEXUS LX 570,5.7,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13.0,18.0,15.0,2,No
679,MASERATI Granturismo,4.2,8,Auto-6,2WD,Gasoline,small car,6.0,14.0,21.0,17.0,4,no,MASERATI Granturismo,4.7,8.0,Auto-6,2WD,Gasoline,small car,1,13.0,21.0,16.0,2,No
680,MAZDA 3,2.0,4,Auto-S4,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,midsize car,7,27.0,37.0,31.0,7,Yes
681,MAZDA 3,2.0,4,Auto-S4,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,small car,7,28.0,38.0,31.0,7,Yes
682,MAZDA 3,2.0,4,Auto-S4,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,28.0,37.0,32.0,7,Yes
683,MAZDA 3,2.0,4,Auto-S4,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,28.0,37.0,31.0,7,Yes
684,MAZDA 3,2.0,4,Auto-S4,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,26.0,35.0,30.0,7,Yes
685,MAZDA 3,2.0,4,Auto-S4,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,small car,7,27.0,36.0,30.0,7,Yes
686,MAZDA 3,2.0,4,Man-5,2WD,Gasoline,small car,9.5,24.0,32.0,27.0,8,yes,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,midsize car,7,27.0,37.0,31.0,7,Yes
687,MAZDA 3,2.0,4,Man-5,2WD,Gasoline,small car,9.5,24.0,32.0,27.0,8,yes,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,small car,7,28.0,38.0,31.0,7,Yes
688,MAZDA 3,2.0,4,Man-5,2WD,Gasoline,small car,9.5,24.0,32.0,27.0,8,yes,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,28.0,37.0,32.0,7,Yes
689,MAZDA 3,2.0,4,Man-5,2WD,Gasoline,small car,9.5,24.0,32.0,27.0,8,yes,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,28.0,37.0,31.0,7,Yes
690,MAZDA 3,2.0,4,Man-5,2WD,Gasoline,small car,9.5,24.0,32.0,27.0,8,yes,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,26.0,35.0,30.0,7,Yes
691,MAZDA 3,2.0,4,Man-5,2WD,Gasoline,small car,9.5,24.0,32.0,27.0,8,yes,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,small car,7,27.0,36.0,30.0,7,Yes
692,MAZDA 3,2.3,4,Auto-S5,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,midsize car,7,27.0,37.0,31.0,7,Yes
693,MAZDA 3,2.3,4,Auto-S5,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,small car,7,28.0,38.0,31.0,7,Yes
694,MAZDA 3,2.3,4,Auto-S5,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,28.0,37.0,32.0,7,Yes
695,MAZDA 3,2.3,4,Auto-S5,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,28.0,37.0,31.0,7,Yes
696,MAZDA 3,2.3,4,Auto-S5,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,26.0,35.0,30.0,7,Yes
697,MAZDA 3,2.3,4,Auto-S5,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,small car,7,27.0,36.0,30.0,7,Yes
698,MAZDA 3,2.3,4,Man-5,2WD,Gasoline,small car,9.5,22.0,29.0,25.0,7,yes,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,midsize car,7,27.0,37.0,31.0,7,Yes
699,MAZDA 3,2.3,4,Man-5,2WD,Gasoline,small car,9.5,22.0,29.0,25.0,7,yes,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,small car,7,28.0,38.0,31.0,7,Yes
700,MAZDA 3,2.3,4,Man-5,2WD,Gasoline,small car,9.5,22.0,29.0,25.0,7,yes,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,28.0,37.0,32.0,7,Yes
701,MAZDA 3,2.3,4,Man-5,2WD,Gasoline,small car,9.5,22.0,29.0,25.0,7,yes,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,28.0,37.0,31.0,7,Yes
702,MAZDA 3,2.3,4,Man-5,2WD,Gasoline,small car,9.5,22.0,29.0,25.0,7,yes,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,26.0,35.0,30.0,7,Yes
703,MAZDA 3,2.3,4,Man-5,2WD,Gasoline,small car,9.5,22.0,29.0,25.0,7,yes,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,small car,7,27.0,36.0,30.0,7,Yes
704,MAZDA 3,2.3,4,Man-6,2WD,Gasoline,midsize car,7.0,18.0,26.0,20.0,6,yes,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,midsize car,7,27.0,37.0,31.0,7,Yes
705,MAZDA 3,2.3,4,Man-6,2WD,Gasoline,midsize car,7.0,18.0,26.0,20.0,6,yes,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,small car,7,28.0,38.0,31.0,7,Yes
706,MAZDA 3,2.3,4,Man-6,2WD,Gasoline,midsize car,7.0,18.0,26.0,20.0,6,yes,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,28.0,37.0,32.0,7,Yes
707,MAZDA 3,2.3,4,Man-6,2WD,Gasoline,midsize car,7.0,18.0,26.0,20.0,6,yes,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,28.0,37.0,31.0,7,Yes
708,MAZDA 3,2.3,4,Man-6,2WD,Gasoline,midsize car,7.0,18.0,26.0,20.0,6,yes,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,26.0,35.0,30.0,7,Yes
709,MAZDA 3,2.3,4,Man-6,2WD,Gasoline,midsize car,7.0,18.0,26.0,20.0,6,yes,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,small car,7,27.0,36.0,30.0,7,Yes
710,MAZDA CX-9,3.7,6,Auto-S6,2WD,Gasoline,SUV,7.0,16.0,22.0,18.0,5,no,MAZDA CX-9,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,22.0,28.0,24.0,5,No
711,MAZDA CX-9,3.7,6,Auto-S6,2WD,Gasoline,SUV,7.0,16.0,22.0,18.0,5,no,MAZDA CX-9,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,20.0,26.0,23.0,5,No
712,MAZDA CX-9,3.7,6,Auto-S6,4WD,Gasoline,SUV,7.0,15.0,21.0,17.0,4,no,MAZDA CX-9,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,22.0,28.0,24.0,5,No
713,MAZDA CX-9,3.7,6,Auto-S6,4WD,Gasoline,SUV,7.0,15.0,21.0,17.0,4,no,MAZDA CX-9,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,20.0,26.0,23.0,5,No
714,MERCEDES-BENZ SL550,5.5,8,Auto-L7,2WD,Gasoline,small car,7.0,14.0,21.0,16.0,4,no,MERCEDES-BENZ SL550,4.7,8.0,Auto-9,2WD,Gasoline,small car,3,17.0,25.0,20.0,4,No
715,NISSAN Armada,5.6,8,Auto-L5,2WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,NISSAN Armada,5.6,8.0,SemiAuto-7,2WD,Gasoline,standard SUV,3,14.0,19.0,16.0,2,No
716,NISSAN Armada,5.6,8,Auto-L5,2WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,NISSAN Armada,5.6,8.0,SemiAuto-7,4WD,Gasoline,standard SUV,3,13.0,18.0,15.0,2,No
717,NISSAN Armada,5.6,8,Auto-L5,4WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,NISSAN Armada,5.6,8.0,SemiAuto-7,2WD,Gasoline,standard SUV,3,14.0,19.0,16.0,2,No
718,NISSAN Armada,5.6,8,Auto-L5,4WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,NISSAN Armada,5.6,8.0,SemiAuto-7,4WD,Gasoline,standard SUV,3,13.0,18.0,15.0,2,No
719,NISSAN Versa,1.8,4,Auto-L4,2WD,Gasoline,midsize car,7.0,24.0,32.0,27.0,8,yes,NISSAN Versa,1.6,4.0,Auto-4,2WD,Gasoline,small car,3,26.0,35.0,29.0,6,No
720,NISSAN Versa,1.8,4,Auto-L4,2WD,Gasoline,midsize car,7.0,24.0,32.0,27.0,8,yes,NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,3,31.0,39.0,34.0,8,Yes
721,NISSAN Versa,1.8,4,Auto-L4,2WD,Gasoline,midsize car,7.0,24.0,32.0,27.0,8,yes,NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,5,31.0,39.0,34.0,8,Yes
722,NISSAN Versa,1.8,4,Auto-L4,2WD,Gasoline,midsize car,7.0,24.0,32.0,27.0,8,yes,NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,3,27.0,36.0,30.0,7,Yes
723,NISSAN Versa,1.8,4,Auto-L4,2WD,Gasoline,midsize car,7.0,24.0,32.0,27.0,8,yes,NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,5,27.0,36.0,30.0,7,Yes
724,NISSAN Versa,1.8,4,Man-6,2WD,Gasoline,midsize car,7.0,26.0,31.0,28.0,8,yes,NISSAN Versa,1.6,4.0,Auto-4,2WD,Gasoline,small car,3,26.0,35.0,29.0,6,No
725,NISSAN Versa,1.8,4,Man-6,2WD,Gasoline,midsize car,7.0,26.0,31.0,28.0,8,yes,NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,3,31.0,39.0,34.0,8,Yes
726,NISSAN Versa,1.8,4,Man-6,2WD,Gasoline,midsize car,7.0,26.0,31.0,28.0,8,yes,NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,5,31.0,39.0,34.0,8,Yes
727,NISSAN Versa,1.8,4,Man-6,2WD,Gasoline,midsize car,7.0,26.0,31.0,28.0,8,yes,NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,3,27.0,36.0,30.0,7,Yes
728,NISSAN Versa,1.8,4,Man-6,2WD,Gasoline,midsize car,7.0,26.0,31.0,28.0,8,yes,NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,5,27.0,36.0,30.0,7,Yes
729,NISSAN Versa,1.8,4,Auto-AV,2WD,Gasoline,midsize car,7.0,27.0,33.0,29.0,8,yes,NISSAN Versa,1.6,4.0,Auto-4,2WD,Gasoline,small car,3,26.0,35.0,29.0,6,No
730,NISSAN Versa,1.8,4,Auto-AV,2WD,Gasoline,midsize car,7.0,27.0,33.0,29.0,8,yes,NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,3,31.0,39.0,34.0,8,Yes
731,NISSAN Versa,1.8,4,Auto-AV,2WD,Gasoline,midsize car,7.0,27.0,33.0,29.0,8,yes,NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,5,31.0,39.0,34.0,8,Yes
732,NISSAN Versa,1.8,4,Auto-AV,2WD,Gasoline,midsize car,7.0,27.0,33.0,29.0,8,yes,NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,3,27.0,36.0,30.0,7,Yes
733,NISSAN Versa,1.8,4,Auto-AV,2WD,Gasoline,midsize car,7.0,27.0,33.0,29.0,8,yes,NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,5,27.0,36.0,30.0,7,Yes
734,PORSCHE 911 Turbo,3.6,6,Auto-L5,4WD,Gasoline,small car,6.0,15.0,23.0,18.0,5,no,PORSCHE 911 Turbo,3.8,6.0,AMS-7,4WD,Gasoline,small car,1,19.0,24.0,21.0,4,No
735,PORSCHE 911 Turbo,3.6,6,Man-6,4WD,Gasoline,small car,6.0,16.0,23.0,18.0,5,no,PORSCHE 911 Turbo,3.8,6.0,AMS-7,4WD,Gasoline,small car,1,19.0,24.0,21.0,4,No
736,PORSCHE 911 Turbo Cabriolet,3.6,6,Auto-L5,4WD,Gasoline,small car,6.0,15.0,23.0,18.0,5,no,PORSCHE 911 Turbo Cabriolet,3.8,6.0,AMS-7,4WD,Gasoline,small car,1,19.0,24.0,21.0,4,No
737,PORSCHE 911 Turbo Cabriolet,3.6,6,Man-6,4WD,Gasoline,small car,6.0,15.0,24.0,18.0,5,no,PORSCHE 911 Turbo Cabriolet,3.8,6.0,AMS-7,4WD,Gasoline,small car,1,19.0,24.0,21.0,4,No
738,PORSCHE Boxster,2.7,6,Auto-L5,2WD,Gasoline,small car,7.0,19.0,26.0,21.0,6,yes,PORSCHE Boxster,2.0,4.0,AMS-7,2WD,Gasoline,small car,3,22.0,29.0,25.0,5,No
739,PORSCHE Boxster,2.7,6,Auto-L5,2WD,Gasoline,small car,7.0,19.0,26.0,21.0,6,yes,PORSCHE Boxster,2.0,4.0,Man-6,2WD,Gasoline,small car,3,21.0,28.0,24.0,5,No
740,PORSCHE Boxster,2.7,6,Man-6,2WD,Gasoline,small car,7.0,19.0,28.0,22.0,6,yes,PORSCHE Boxster,2.0,4.0,AMS-7,2WD,Gasoline,small car,3,22.0,29.0,25.0,5,No
741,PORSCHE Boxster,2.7,6,Man-6,2WD,Gasoline,small car,7.0,19.0,28.0,22.0,6,yes,PORSCHE Boxster,2.0,4.0,Man-6,2WD,Gasoline,small car,3,21.0,28.0,24.0,5,No
742,PORSCHE Boxster,2.7,6,Man-5,2WD,Gasoline,small car,7.0,20.0,29.0,23.0,7,yes,PORSCHE Boxster,2.0,4.0,AMS-7,2WD,Gasoline,small car,3,22.0,29.0,25.0,5,No
743,PORSCHE Boxster,2.7,6,Man-5,2WD,Gasoline,small car,7.0,20.0,29.0,23.0,7,yes,PORSCHE Boxster,2.0,4.0,Man-6,2WD,Gasoline,small car,3,21.0,28.0,24.0,5,No
744,PORSCHE Boxster S,3.4,6,Auto-L5,2WD,Gasoline,small car,7.0,18.0,25.0,21.0,6,yes,PORSCHE Boxster S,2.5,4.0,AMS-7,2WD,Gasoline,small car,3,21.0,28.0,24.0,5,No
745,PORSCHE Boxster S,3.4,6,Auto-L5,2WD,Gasoline,small car,7.0,18.0,25.0,21.0,6,yes,PORSCHE Boxster S,2.5,4.0,Man-6,2WD,Gasoline,small car,3,20.0,26.0,22.0,4,No
746,PORSCHE Boxster S,3.4,6,Man-6,2WD,Gasoline,small car,7.0,18.0,26.0,21.0,6,yes,PORSCHE Boxster S,2.5,4.0,AMS-7,2WD,Gasoline,small car,3,21.0,28.0,24.0,5,No
747,PORSCHE Boxster S,3.4,6,Man-6,2WD,Gasoline,small car,7.0,18.0,26.0,21.0,6,yes,PORSCHE Boxster S,2.5,4.0,Man-6,2WD,Gasoline,small car,3,20.0,26.0,22.0,4,No
748,PORSCHE Cayenne S,4.8,8,Auto-L6,4WD,Gasoline,SUV,7.0,13.0,19.0,15.0,3,no,PORSCHE Cayenne S,3.6,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,17.0,24.0,20.0,4,No
749,SUBARU Forester,2.5,4,Auto-L4,4WD,Gasoline,SUV,9.5,20.0,26.0,22.0,6,yes,SUBARU Forester,2.0,4.0,SCV-8,4WD,Gasoline,small SUV,1,23.0,27.0,25.0,5,No
750,SUBARU Forester,2.5,4,Auto-L4,4WD,Gasoline,SUV,9.5,20.0,26.0,22.0,6,yes,SUBARU Forester,2.5,4.0,Man-6,4WD,Gasoline,small SUV,7,22.0,28.0,24.0,5,No
751,SUBARU Forester,2.5,4,Auto-L4,4WD,Gasoline,SUV,9.5,20.0,26.0,22.0,6,yes,SUBARU Forester,2.5,4.0,SCV-6,4WD,Gasoline,small SUV,7,26.0,32.0,28.0,6,No
