,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
608,MERCEDES-BENZ GL450 4Matic,4.6,8,Auto-L7,4WD,Gasoline,SUV,7,13.0,18.0,15.0,3,no
609,MERCEDES-BENZ GL550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,SUV,7,13.0,17.0,14.0,2,no
610,MERCEDES-BENZ ML350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,SUV,7,15.0,20.0,17.0,4,no
611,MERCEDES-BENZ ML550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,SUV,7,13.0,18.0,15.0,3,no
612,MERCEDES-BENZ Maybach 57,5.5,12,Auto-L5,2WD,Gasoline,large car,6,10.0,16.0,12.0,0,no
613,MERCEDES-BENZ Maybach 57S,6.0,12,Auto-L5,2WD,Gasoline,large car,6,10.0,16.0,12.0,0,no
614,MERCEDES-BENZ Maybach 62,5.5,12,Auto-L5,2WD,Gasoline,large car,6,10.0,16.0,12.0,0,no
615,MERCEDES-BENZ Maybach 62S,6.0,12,Auto-L5,2WD,Gasoline,large car,6,10.0,16.0,12.0,0,no
616,MERCEDES-BENZ R350,3.5,6,Auto-L7,2WD,Gasoline,SUV,7,15.0,20.0,17.0,4,no
617,MERCEDES-BENZ R350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,SUV,7,15.0,19.0,16.0,4,no
618,MERCEDES-BENZ S550,5.5,8,Auto-L7,2WD,Gasoline,large car,7,14.0,21.0,16.0,4,no
619,MERCEDES-BENZ S550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,large car,7,14.0,20.0,16.0,4,no
620,MERCEDES-BENZ S600,5.5,12,Auto-L5,2WD,Gasoline,large car,6,11.0,17.0,13.0,1,no
621,MERCEDES-BENZ S63 AMG,6.2,8,Auto-S7,2WD,Gasoline,large car,6,11.0,17.0,13.0,1,no
622,MERCEDES-BENZ S65 AMG,6.0,12,Auto-S5,2WD,Gasoline,large car,6,11.0,17.0,13.0,1,no
623,MERCEDES-BENZ SL55 AMG,5.4,8,Auto-S5,2WD,Gasoline,small car,6,12.0,17.0,14.0,2,no
624,MERCEDES-BENZ SL550,5.5,8,Auto-L7,2WD,Gasoline,small car,7,14.0,21.0,16.0,4,no
625,MERCEDES-BENZ SL600,5.5,12,Auto-L5,2WD,Gasoline,small car,6,11.0,18.0,14.0,2,no
626,MERCEDES-BENZ SL65 AMG,6.0,12,Auto-S5,2WD,Gasoline,small car,6,11.0,18.0,14.0,2,no
627,MERCEDES-BENZ SLK55 AMG,5.4,8,Auto-S7,2WD,Gasoline,small car,6,14.0,20.0,16.0,4,no
628,MERCEDES-BENZ SLR,5.4,8,Auto-S5,2WD,Gasoline,small car,6,12.0,16.0,13.0,1,no
629,MERCURY Mariner,2.3,4,Auto-L4,2WD,Gasoline,SUV,6,20.0,26.0,22.0,6,no
630,MERCURY Mariner,2.3,4,Auto-L4,4WD,Gasoline,SUV,6,19.0,24.0,21.0,6,no
631,MERCURY Mariner,3.0,6,Auto-L4,2WD,Gasoline,SUV,6,18.0,24.0,20.0,6,no
632,MERCURY Mariner,3.0,6,Auto-L4,4WD,Gasoline,SUV,6,17.0,22.0,19.0,5,no
633,MERCURY Mariner Hybrid,2.3,4,Auto-AV,2WD,Gasoline,SUV,9.5,34.0,30.0,32.0,9,yes
634,MERCURY Mariner Hybrid,2.3,4,Auto-AV,4WD,Gasoline,SUV,9.5,29.0,27.0,28.0,8,yes
635,MERCURY Milan,2.3,4,Auto-L5,2WD,Gasoline,midsize car,9.5,20.0,28.0,23.0,7,yes
636,MERCURY Milan,3.0,6,Auto-L6,4WD,Gasoline,midsize car,7,17.0,25.0,20.0,6,yes
637,MERCURY Milan,3.0,6,Auto-L6,2WD,Gasoline,midsize car,7,18.0,26.0,21.0,6,yes
638,MERCURY Mountaineer,4.0,6,Auto-L5,2WD,Gasoline,SUV,7,14.0,20.0,16.0,4,no
639,MERCURY Mountaineer,4.0,6,Auto-L5,4WD,Gasoline,SUV,7,13.0,19.0,15.0,3,no
640,MERCURY Mountaineer,4.6,8,Auto-L6,2WD,Gasoline,SUV,7,13.0,20.0,16.0,4,no
641,MERCURY Mountaineer,4.6,8,Auto-L6,2WD,Gasoline,SUV,7,13.0,20.0,16.0,4,no
642,MERCURY Mountaineer,4.6,8,Auto-L6,4WD,Gasoline,SUV,7,13.0,19.0,15.0,3,no
643,MERCURY Mountaineer,4.6,8,Auto-L6,4WD,Gasoline,SUV,7,13.0,19.0,15.0,3,no
644,MERCURY Sable,3.5,6,Auto-L6,4WD,Gasoline,large car,9.5,17.0,24.0,19.0,5,no
645,MERCURY Sable,3.5,6,Auto-L6,2WD,Gasoline,large car,9.5,18.0,28.0,22.0,6,yes
646,MINI Mini Cooper Convertible,1.6,4,Auto-AV,2WD,Gasoline,small car,6,25.0,33.0,28.0,8,yes
647,MINI Mini Cooper Convertible,1.6,4,Man-5,2WD,Gasoline,small car,6,26.0,35.0,29.0,8,yes
648,MINI Mini Cooper S Convertible,1.6,4,Auto-S6,2WD,Gasoline,small car,6,22.0,31.0,26.0,8,yes
649,MINI Mini Cooper S Convertible,1.6,4,Man-6,2WD,Gasoline,small car,6,24.0,31.0,27.0,8,yes
650,MITSUBISHI Eclipse,2.4,4,Auto-S4,2WD,Gasoline,small car,7,20.0,26.0,22.0,6,yes
651,MITSUBISHI Eclipse,2.4,4,Man-5,2WD,Gasoline,small car,7,20.0,28.0,23.0,7,yes
652,MITSUBISHI Eclipse,3.8,6,Man-6,2WD,Gasoline,small car,6,16.0,25.0,19.0,5,no
653,MITSUBISHI Eclipse,3.8,6,Man-6,2WD,Gasoline,small car,6,16.0,25.0,19.0,5,no
654,MITSUBISHI Eclipse,3.8,6,Auto-S5,2WD,Gasoline,small car,6,17.0,25.0,20.0,6,no
655,MITSUBISHI Eclipse,3.8,6,Auto-S5,2WD,Gasoline,small car,6,17.0,25.0,20.0,6,no
656,MITSUBISHI Eclipse Spyder,2.4,4,Auto-S4,2WD,Gasoline,small car,7,19.0,26.0,22.0,6,yes
657,MITSUBISHI Eclipse Spyder,2.4,4,Man-5,2WD,Gasoline,small car,7,19.0,26.0,22.0,6,yes
658,MITSUBISHI Eclipse Spyder,3.8,6,Auto-S5,2WD,Gasoline,small car,6,16.0,24.0,19.0,5,no
659,MITSUBISHI Eclipse Spyder,3.8,6,Auto-S5,2WD,Gasoline,small car,6,16.0,24.0,19.0,5,no
660,MITSUBISHI Eclipse Spyder,3.8,6,Man-6,2WD,Gasoline,small car,6,16.0,25.0,19.0,5,no
661,MITSUBISHI Eclipse Spyder,3.8,6,Man-6,2WD,Gasoline,small car,6,16.0,25.0,19.0,5,no
662,MITSUBISHI Endeavor,3.8,6,Auto-S4,2WD,Gasoline,SUV,6,15.0,22.0,18.0,5,no
663,MITSUBISHI Endeavor,3.8,6,Auto-S4,4WD,Gasoline,SUV,6,15.0,19.0,17.0,4,no
664,MITSUBISHI Galant,2.4,4,Auto-S4,2WD,Gasoline,midsize car,9.5,20.0,27.0,23.0,7,yes
665,MITSUBISHI Galant,3.8,6,Auto-S5,2WD,Gasoline,midsize car,6,17.0,25.0,20.0,6,no
666,MITSUBISHI Galant,3.8,6,Auto-S5,2WD,Gasoline,midsize car,6,17.0,25.0,20.0,6,no
667,MITSUBISHI Lancer,2.0,4,Man-5,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7,yes
668,MITSUBISHI Lancer,2.0,4,Auto-AV,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes
669,MITSUBISHI Outlander,3.0,6,Auto-S6,2WD,Gasoline,SUV,9.5,17.0,25.0,20.0,6,yes
670,MITSUBISHI Outlander,3.0,6,Auto-S6,4WD,Gasoline,SUV,9.5,17.0,24.0,20.0,6,yes
671,MITSUBISHI Outlander,2.4,4,Auto-AV,2WD,Gasoline,SUV,6,20.0,25.0,22.0,6,no
672,MITSUBISHI Outlander,2.4,4,Auto-AV,4WD,Gasoline,SUV,6,20.0,25.0,22.0,6,no
673,MITSUBISHI Raider,3.7,6,Auto-L4,2WD,Gasoline,pickup,7,15.0,20.0,17.0,4,no
674,MITSUBISHI Raider,3.7,6,Auto-L4,4WD,Gasoline,pickup,7,14.0,18.0,15.0,3,no
675,MITSUBISHI Raider,4.7,8,Auto-L5,2WD,Gasoline,pickup,7,14.0,19.0,15.0,3,no
676,MITSUBISHI Raider,4.7,8,Auto-L5,4WD,Gasoline,pickup,7,14.0,19.0,15.0,3,no
677,MITSUBISHI Raider,3.7,6,Auto-L4,2WD,Gasoline,pickup,6,15.0,20.0,17.0,4,no
678,MITSUBISHI Raider,3.7,6,Man-6,2WD,Gasoline,pickup,6,16.0,20.0,18.0,5,no
679,MITSUBISHI Raider,3.7,6,Auto-L4,4WD,Gasoline,pickup,6,14.0,18.0,15.0,3,no
680,NISSAN 350Z,3.5,6,Auto-S5,2WD,Gasoline,small car,7,17.0,24.0,20.0,6,yes
681,NISSAN 350Z,3.5,6,Man-6,2WD,Gasoline,small car,7,18.0,25.0,20.0,6,yes
682,NISSAN 350Z Roadster,3.5,6,Auto-S5,2WD,Gasoline,small car,7,17.0,23.0,19.0,5,no
683,NISSAN 350Z Roadster,3.5,6,Man-6,2WD,Gasoline,small car,7,17.0,24.0,20.0,6,yes
684,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,23.0,31.0,26.0,8,yes
685,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,9.5,23.0,32.0,26.0,8,yes
686,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes
687,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,9.5,23.0,32.0,26.0,8,yes
688,NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7,19.0,26.0,22.0,6,yes
689,NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,midsize car,7,19.0,27.0,22.0,6,yes
690,NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,small car,7,19.0,26.0,22.0,6,yes
691,NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,small car,7,19.0,27.0,22.0,6,yes
692,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6,23.0,31.0,26.0,8,yes
693,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,6,23.0,32.0,26.0,8,yes
694,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,6,23.0,31.0,26.0,8,yes
695,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,6,23.0,32.0,26.0,8,yes
696,NISSAN Altima Hybrid,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,35.0,33.0,34.0,9,yes
697,NISSAN Armada,5.6,8,Auto-L5,2WD,Gasoline,SUV,6,12.0,18.0,14.0,2,no
698,NISSAN Armada,5.6,8,Auto-L5,4WD,Gasoline,SUV,6,12.0,17.0,14.0,2,no
699,NISSAN Frontier,2.5,4,Auto-L5,2WD,Gasoline,pickup,7,17.0,22.0,19.0,5,no
700,NISSAN Frontier,2.5,4,Man-5,2WD,Gasoline,pickup,7,19.0,23.0,21.0,6,yes
701,NISSAN Frontier,4.0,6,Auto-L5,2WD,Gasoline,pickup,7,15.0,20.0,17.0,4,no
702,NISSAN Frontier,4.0,6,Man-6,2WD,Gasoline,pickup,7,16.0,20.0,17.0,4,no
703,NISSAN Frontier,4.0,6,Auto-L5,4WD,Gasoline,pickup,7,14.0,19.0,16.0,4,no
704,NISSAN Frontier,4.0,6,Man-6,4WD,Gasoline,pickup,7,15.0,19.0,17.0,4,no
705,NISSAN Maxima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7,19.0,25.0,21.0,6,yes
706,NISSAN Pathfinder,4.0,6,Auto-L5,2WD,Gasoline,SUV,7,15.0,22.0,17.0,4,no
707,NISSAN Pathfinder,4.0,6,Auto-L5,4WD,Gasoline,SUV,7,14.0,20.0,16.0,4,no
708,NISSAN Pathfinder,5.6,8,Auto-S5,2WD,Gasoline,SUV,6,13.0,18.0,15.0,3,no
709,NISSAN Pathfinder,5.6,8,Auto-S5,4WD,Gasoline,SUV,6,12.0,18.0,14.0,2,no
710,NISSAN Quest,3.5,6,Auto-L5,2WD,Gasoline,minivan,7,16.0,24.0,19.0,5,no
711,NISSAN Rogue,2.5,4,Auto-AV,2WD,Gasoline,SUV,9,22.0,27.0,24.0,7,yes
712,NISSAN Rogue,2.5,4,Auto-AV,4WD,Gasoline,SUV,9,21.0,26.0,23.0,7,yes
