,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
785,PORSCHE Cayman,2.7,6,Auto-L5,2WD,Gasoline,small car,7,19.0,26.0,21.0,6,yes
786,PORSCHE Cayman,2.7,6,Man-6,2WD,Gasoline,small car,7,19.0,28.0,22.0,6,yes
787,PORSCHE Cayman,2.7,6,Man-5,2WD,Gasoline,small car,7,20.0,29.0,23.0,7,yes
788,PORSCHE Cayman S,3.4,6,Auto-L5,2WD,Gasoline,small car,7,18.0,25.0,21.0,6,yes
789,PORSCHE Cayman S,3.4,6,Man-6,2WD,Gasoline,small car,7,18.0,26.0,21.0,6,yes
790,ROLLS-ROYCE Phantom,6.7,12,Auto-S6,2WD,Gasoline,midsize car,6,13.0,19.0,15.0,3,no
791,ROLLS-ROYCE Phantom,6.7,12,Auto-S6,2WD,Gasoline,small car,6,13.0,19.0,15.0,3,no
792,ROUSH Stage 3 F150,5.4,8,Auto-L4,2WD,Gasoline,pickup,7,11.0,15.0,13.0,1,no
793,ROUSH Stage 3 F150,5.4,8,Auto-L4,4WD,Gasoline,pickup,7,11.0,15.0,13.0,1,no
794,ROUSH Stage 3 Mustang,4.6,8,Auto-L5,2WD,Gasoline,small car,7,14.0,20.0,16.0,4,no
795,ROUSH Stage 3 Mustang,4.6,8,Man-5,2WD,Gasoline,small car,7,15.0,20.0,17.0,4,no
796,SAAB 9-3 Convertible,2.0,4,Auto-S5,2WD,Gasoline,small car,6,18.0,24.0,20.0,6,no
797,SAAB 9-3 Convertible,2.0,4,Man-6,2WD,Gasoline,small car,6,18.0,27.0,22.0,6,no
798,SAAB 9-3 Convertible,2.8,6,Auto-S6,2WD,Gasoline,small car,6,15.0,24.0,18.0,5,no
799,SAAB 9-3 Convertible,2.8,6,Man-6,2WD,Gasoline,small car,6,16.0,26.0,19.0,5,no
800,SAAB 9-3 Sport Sedan,2.0,4,Auto-S5,2WD,Gasoline,small car,6,19.0,26.0,21.0,6,no
801,SAAB 9-3 Sport Sedan,2.0,4,Man-6,2WD,Gasoline,small car,6,19.0,29.0,23.0,7,yes
802,SAAB 9-3 Sport Sedan,2.8,6,Auto-S6,2WD,Gasoline,small car,6,15.0,24.0,18.0,5,no
803,SAAB 9-3 Sport Sedan,2.8,6,Man-6,2WD,Gasoline,small car,6,16.0,26.0,19.0,5,no
804,SAAB 9-3 Sportcombi,2.0,4,Auto-S5,2WD,Gasoline,station wagon,6,18.0,24.0,20.0,6,no
805,SAAB 9-3 Sportcombi,2.0,4,Man-6,2WD,Gasoline,station wagon,6,19.0,29.0,23.0,7,yes
806,SAAB 9-3 Sportcombi,2.8,6,Auto-S6,2WD,Gasoline,station wagon,6,15.0,24.0,18.0,5,no
807,SAAB 9-3 Sportcombi,2.8,6,Man-6,2WD,Gasoline,station wagon,6,16.0,26.0,19.0,5,no
808,SAAB 9-5,2.3,4,Auto-S5,2WD,Gasoline,midsize car,6,17.0,26.0,20.0,6,no
809,SAAB 9-5,2.3,4,Man-5,2WD,Gasoline,midsize car,6,18.0,28.0,21.0,6,no
810,SAAB 9-5 Sportcombi,2.3,4,Auto-S5,2WD,Gasoline,station wagon,6,17.0,26.0,20.0,6,no
811,SAAB 9-5 Sportcombi,2.3,4,Man-5,2WD,Gasoline,station wagon,6,18.0,28.0,21.0,6,no
812,SAAB 9-7X,5.3,8,Auto-L4,4WD,Gasoline,SUV,6,13.0,19.0,16.0,4,no
813,SAAB 9-7X,6.0,8,Auto-L4,4WD,Gasoline,SUV,6,12.0,16.0,13.0,1,no
814,SALEEN S281,5.0,8,Man-6,2WD,Gasoline,small car,6,12.0,18.0,14.0,2,no
815,SALEEN S281,5.0,8,Man-6,2WD,Gasoline,small car,6,12.0,18.0,14.0,2,no
816,SATURN Aura,3.5,6,Auto-L4,2WD,Gasoline,midsize car,7,18.0,29.0,22.0,6,yes
817,SATURN Aura,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6,22.0,30.0,25.0,7,yes
818,SATURN Aura,3.6,6,Auto-S6,2WD,Gasoline,midsize car,6,17.0,26.0,20.0,6,no
819,SATURN Aura Hybrid,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6,24.0,32.0,27.0,8,yes
820,SATURN Outlook,3.6,6,Auto-L6,2WD,Gasoline,SUV,6,16.0,24.0,19.0,5,no
821,SATURN Outlook,3.6,6,Auto-L6,4WD,Gasoline,SUV,6,16.0,22.0,18.0,5,no
822,SATURN Sky,2.0,4,Auto-L5,2WD,Gasoline,small car,6,19.0,26.0,21.0,6,no
823,SATURN Sky,2.0,4,Man-5,2WD,Gasoline,small car,6,19.0,28.0,22.0,6,no
824,SATURN Sky,2.4,4,Auto-L5,2WD,Gasoline,small car,6,19.0,24.0,21.0,6,no
825,SATURN Sky,2.4,4,Man-5,2WD,Gasoline,small car,6,19.0,25.0,21.0,6,no
826,SATURN Vue,3.5,6,Auto-L6,4WD,Gasoline,SUV,6,15.0,22.0,17.0,4,no
827,SATURN Vue,3.6,6,Auto-L6,2WD,Gasoline,SUV,6,16.0,23.0,19.0,5,no
828,SATURN Vue,3.6,6,Auto-S6,2WD,Gasoline,SUV,6,16.0,24.0,19.0,5,no
829,SATURN Vue,3.6,6,Auto-L6,4WD,Gasoline,SUV,6,16.0,22.0,18.0,5,no
830,SATURN Vue,3.6,6,Auto-S6,4WD,Gasoline,SUV,6,16.0,22.0,18.0,5,no
831,SHELBY Mustang GT,4.6,8,Man-5,2WD,Gasoline,small car,6,15.0,22.0,17.0,4,no
832,SUBARU Forester,2.5,4,Auto-L4,4WD,Gasoline,SUV,9.5,20.0,26.0,22.0,6,yes
833,SUBARU Forester,2.5,4,Man-5,4WD,Gasoline,SUV,9.5,20.0,27.0,22.0,6,yes
834,SUBARU Forester,2.5,4,Auto-L4,4WD,Gasoline,SUV,6,18.0,23.0,20.0,6,no
835,SUBARU Forester,2.5,4,Man-5,4WD,Gasoline,SUV,6,19.0,25.0,21.0,6,no
836,SUBARU Forester,2.5,4,Auto-L4,4WD,Gasoline,SUV,6,20.0,26.0,22.0,6,no
837,SUBARU Forester,2.5,4,Man-5,4WD,Gasoline,SUV,6,20.0,27.0,22.0,6,no
838,SUBARU Impreza,2.5,4,Man-5,4WD,Gasoline,small car,6,19.0,25.0,21.0,6,no
839,SUBARU Impreza,2.5,4,Auto-S4,4WD,Gasoline,small car,6,20.0,25.0,22.0,6,no
840,SUBARU Impreza,2.5,4,Man-5,4WD,Gasoline,small car,6,20.0,27.0,22.0,6,no
841,SUBARU Impreza,2.5,4,Auto-S4,4WD,Gasoline,small car,6,20.0,27.0,22.0,6,no
842,SUBARU Impreza Wagon,2.5,4,Man-6,4WD,Gasoline,station wagon,6,17.0,23.0,19.0,5,no
843,SUBARU Impreza Wagon,2.5,4,Man-5,4WD,Gasoline,station wagon,6,19.0,25.0,21.0,6,no
844,SUBARU Impreza Wagon,2.5,4,Auto-S4,4WD,Gasoline,station wagon,6,20.0,25.0,22.0,6,no
845,SUBARU Impreza Wagon,2.5,4,Man-5,4WD,Gasoline,station wagon,6,20.0,27.0,22.0,6,no
846,SUBARU Impreza Wagon,2.5,4,Auto-S4,4WD,Gasoline,station wagon,6,20.0,27.0,22.0,6,no
847,SUBARU Legacy,2.5,4,Man-5,4WD,Gasoline,small car,9.5,20.0,27.0,22.0,6,yes
848,SUBARU Legacy,2.5,4,Auto-S4,4WD,Gasoline,small car,9.5,20.0,27.0,22.0,6,yes
849,SUBARU Legacy,2.5,4,Man-6,4WD,Gasoline,small car,6,17.0,24.0,20.0,6,no
850,SUBARU Legacy,2.5,4,Auto-S5,4WD,Gasoline,small car,6,18.0,24.0,20.0,6,no
851,SUBARU Legacy,2.5,4,Man-5,4WD,Gasoline,small car,6,19.0,25.0,21.0,6,no
852,SUBARU Legacy,2.5,4,Man-5,4WD,Gasoline,small car,6,20.0,27.0,22.0,6,no
853,SUBARU Legacy,2.5,4,Auto-S4,4WD,Gasoline,small car,6,20.0,27.0,22.0,6,no
854,SUBARU Legacy,3.0,6,Auto-S5,4WD,Gasoline,small car,6,17.0,24.0,20.0,6,no
855,SUBARU Outback Sport,2.5,4,Man-6,4WD,Gasoline,station wagon,6,17.0,23.0,19.0,5,no
856,SUBARU Outback Sport,2.5,4,Man-5,4WD,Gasoline,station wagon,6,19.0,25.0,21.0,6,no
857,SUBARU Outback Sport,2.5,4,Auto-S4,4WD,Gasoline,station wagon,6,20.0,25.0,22.0,6,no
858,SUBARU Outback Sport,2.5,4,Man-5,4WD,Gasoline,station wagon,6,20.0,27.0,22.0,6,no
859,SUBARU Outback Sport,2.5,4,Auto-S4,4WD,Gasoline,station wagon,6,20.0,27.0,22.0,6,no
860,SUBARU Outback Wagon,2.5,4,Man-5,4WD,Gasoline,SUV,9.5,19.0,26.0,22.0,6,yes
861,SUBARU Outback Wagon,2.5,4,Auto-S4,4WD,Gasoline,SUV,9.5,20.0,26.0,22.0,6,yes
862,SUBARU Outback Wagon,2.5,4,Auto-S5,4WD,Gasoline,SUV,6,18.0,24.0,20.0,6,no
863,SUBARU Outback Wagon,2.5,4,Man-5,4WD,Gasoline,SUV,6,18.0,24.0,20.0,6,no
864,SUBARU Outback Wagon,2.5,4,Man-5,4WD,Gasoline,SUV,6,19.0,26.0,22.0,6,no
865,SUBARU Outback Wagon,2.5,4,Auto-S4,4WD,Gasoline,SUV,6,20.0,26.0,22.0,6,no
866,SUBARU Outback Wagon,3.0,6,Auto-S5,4WD,Gasoline,SUV,6,17.0,24.0,20.0,6,no
867,SUBARU Tribeca,3.6,6,Auto-S5,4WD,Gasoline,SUV,6,16.0,21.0,18.0,5,no
868,SUZUKI Grand Vitara,2.7,6,Man-5,2WD,Gasoline,SUV,6,16.0,22.0,18.0,5,no
869,SUZUKI Grand Vitara,2.7,6,Auto-L5,2WD,Gasoline,SUV,6,17.0,22.0,19.0,5,no
870,SUZUKI Grand Vitara,2.7,6,Man-5,4WD,Gasoline,SUV,6,16.0,21.0,18.0,5,no
871,SUZUKI Grand Vitara,2.7,6,Auto-L5,4WD,Gasoline,SUV,6,17.0,21.0,19.0,5,no
872,SUZUKI SX4,2.0,4,Man-5,2WD,Gasoline,small car,6,22.0,30.0,25.0,7,yes
873,SUZUKI SX4,2.0,4,Auto-L4,2WD,Gasoline,small car,6,23.0,31.0,26.0,8,yes
874,SUZUKI SX4,2.0,4,Man-5,4WD,Gasoline,station wagon,6,21.0,28.0,24.0,7,yes
875,SUZUKI SX4,2.0,4,Auto-L4,4WD,Gasoline,station wagon,6,21.0,28.0,24.0,7,yes
876,SUZUKI SX4,2.0,4,Man-5,2WD,Gasoline,station wagon,6,22.0,30.0,25.0,7,yes
877,SUZUKI SX4,2.0,4,Auto-L4,2WD,Gasoline,station wagon,6,22.0,30.0,25.0,7,yes
878,TOYOTA 4Runner,4.7,8,Auto-L5,2WD,Gasoline,SUV,7,15.0,19.0,17.0,4,no
879,TOYOTA 4Runner,4.7,8,Auto-L5,4WD,Gasoline,SUV,7,14.0,17.0,15.0,3,no
880,TOYOTA 4Runner,4.0,6,Auto-L5,2WD,Gasoline,SUV,6,16.0,21.0,18.0,5,no
881,TOYOTA 4Runner,4.0,6,Auto-L5,4WD,Gasoline,SUV,6,16.0,20.0,17.0,4,no
882,TOYOTA Avalon,3.5,6,Auto-S6,2WD,Gasoline,large car,7,19.0,28.0,22.0,6,yes
883,TOYOTA Camry,2.4,4,Auto-L5,2WD,Gasoline,midsize car,9.5,21.0,31.0,25.0,7,yes
884,TOYOTA Camry,2.4,4,Man-5,2WD,Gasoline,midsize car,7,21.0,31.0,25.0,7,yes
885,TOYOTA Camry,2.4,4,Auto-L5,2WD,Gasoline,midsize car,7,21.0,31.0,25.0,7,yes
886,TOYOTA Camry,3.5,6,Auto-S6,2WD,Gasoline,midsize car,7,19.0,28.0,22.0,6,yes
887,TOYOTA Camry Hybrid,2.4,4,Auto-AV,2WD,Gasoline,midsize car,9.5,33.0,34.0,34.0,9,yes
888,TOYOTA Corolla,1.8,4,Auto-L4,2WD,Gasoline,small car,7,26.0,35.0,29.0,8,yes
889,TOYOTA Corolla,1.8,4,Man-5,2WD,Gasoline,small car,7,28.0,37.0,31.0,9,yes
890,TOYOTA FJ Cruiser,4.0,6,Auto-L5,2WD,Gasoline,SUV,6,16.0,20.0,18.0,5,no
891,TOYOTA FJ Cruiser,4.0,6,Man-6,4WD,Gasoline,SUV,6,15.0,18.0,16.0,4,no
892,TOYOTA FJ Cruiser,4.0,6,Auto-L5,4WD,Gasoline,SUV,6,16.0,20.0,17.0,4,no
893,TOYOTA Highlander,3.5,6,Auto-S5,2WD,Gasoline,SUV,7,18.0,24.0,20.0,6,yes
894,TOYOTA Highlander,3.5,6,Auto-S5,4WD,Gasoline,SUV,7,17.0,23.0,19.0,5,no
895,TOYOTA Highlander Hybrid,3.3,6,Auto-AV,4WD,Gasoline,SUV,9,27.0,25.0,26.0,8,yes
896,TOYOTA Land Cruiser,5.7,8,Auto-S6,4WD,Gasoline,SUV,7,13.0,18.0,15.0,3,no
897,TOYOTA Matrix,1.8,4,Auto-L4,2WD,Gasoline,station wagon,7,25.0,31.0,27.0,8,yes
898,TOYOTA Matrix,1.8,4,Man-5,2WD,Gasoline,station wagon,7,26.0,33.0,29.0,8,yes
899,TOYOTA Prius,1.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,48.0,45.0,46.0,10,yes
900,TOYOTA RAV4,2.4,4,Auto-L4,2WD,Gasoline,SUV,7,21.0,27.0,24.0,7,yes
901,TOYOTA RAV4,2.4,4,Auto-L4,4WD,Gasoline,SUV,7,20.0,25.0,22.0,6,yes
902,TOYOTA RAV4,3.5,6,Auto-L5,2WD,Gasoline,SUV,7,19.0,27.0,22.0,6,yes
903,TOYOTA RAV4,3.5,6,Auto-L5,4WD,Gasoline,SUV,7,19.0,26.0,21.0,6,yes
904,TOYOTA Scion TC,2.4,4,Man-5,2WD,Gasoline,small car,7,20.0,27.0,23.0,7,yes
905,TOYOTA Scion TC,2.4,4,Auto-L4,2WD,Gasoline,small car,7,21.0,29.0,24.0,7,yes
906,TOYOTA Scion XB,2.4,4,Auto-S4,2WD,Gasoline,station wagon,7,22.0,28.0,24.0,7,yes
907,TOYOTA Scion XB,2.4,4,Man-5,2WD,Gasoline,station wagon,7,22.0,28.0,24.0,7,yes
908,TOYOTA Scion XD,1.8,4,Auto-L4,2WD,Gasoline,small car,6,26.0,32.0,28.0,8,yes
909,TOYOTA Scion XD,1.8,4,Man-5,2WD,Gasoline,small car,6,27.0,33.0,29.0,8,yes
910,TOYOTA Sequoia,4.7,8,Auto-S5,2WD,Gasoline,SUV,7,14.0,17.0,15.0,3,no
911,TOYOTA Sequoia,4.7,8,Auto-S5,4WD,Gasoline,SUV,7,13.0,16.0,14.0,2,no
912,TOYOTA Sequoia,5.7,8,Auto-S6,2WD,Gasoline,SUV,7,14.0,19.0,15.0,3,no
913,TOYOTA Sequoia,5.7,8,Auto-S6,4WD,Gasoline,SUV,7,13.0,18.0,15.0,3,no
914,TOYOTA Sienna,3.5,6,Auto-L5,2WD,Gasoline,minivan,7,17.0,23.0,19.0,5,no
915,TOYOTA Sienna,3.5,6,Auto-L5,4WD,Gasoline,minivan,7,16.0,21.0,18.0,5,no
916,TOYOTA Solara,2.4,4,Man-5,2WD,Gasoline,small car,7,21.0,31.0,25.0,7,yes
917,TOYOTA Solara,2.4,4,Auto-S5,2WD,Gasoline,small car,7,22.0,31.0,25.0,7,yes
918,TOYOTA Solara,3.3,6,Auto-S5,2WD,Gasoline,small car,7,18.0,27.0,21.0,6,yes
919,TOYOTA Solara Convertible,3.3,6,Auto-S5,2WD,Gasoline,small car,7,18.0,26.0,21.0,6,yes
920,TOYOTA Tacoma,2.7,4,Auto-L4,2WD,Gasoline,pickup,6,19.0,25.0,21.0,6,no
921,TOYOTA Tacoma,2.7,4,Man-5,2WD,Gasoline,pickup,6,20.0,25.0,22.0,6,no
922,TOYOTA Tacoma,2.7,4,Auto-L4,2WD,Gasoline,pickup,6,19.0,25.0,21.0,6,no
923,TOYOTA Tacoma,2.7,4,Man-5,2WD,Gasoline,pickup,6,20.0,25.0,22.0,6,no
924,TOYOTA Tacoma,2.7,4,Man-5,4WD,Gasoline,pickup,6,17.0,22.0,19.0,5,no
925,TOYOTA Tacoma,4.0,6,Man-6,2WD,Gasoline,pickup,6,15.0,19.0,17.0,4,no
926,TOYOTA Tacoma,4.0,6,Auto-L5,2WD,Gasoline,pickup,6,16.0,20.0,18.0,5,no
927,TOYOTA Tacoma,4.0,6,Man-6,4WD,Gasoline,pickup,6,15.0,18.0,16.0,4,no
928,TOYOTA Tacoma,4.0,6,Auto-L5,4WD,Gasoline,pickup,6,16.0,20.0,18.0,5,no
929,TOYOTA Tundra,4.7,8,Auto-S5,2WD,Gasoline,pickup,7,14.0,17.0,15.0,3,no
930,TOYOTA Tundra,4.7,8,Auto-S5,4WD,Gasoline,pickup,7,13.0,16.0,15.0,3,no
931,TOYOTA Tundra,5.7,8,Auto-S6,2WD,Gasoline,pickup,7,14.0,18.0,16.0,4,no
932,TOYOTA Tundra,5.7,8,Auto-S6,4WD,Gasoline,pickup,7,13.0,17.0,14.0,2,no
933,TOYOTA Tundra,4.0,6,Auto-S5,2WD,Gasoline,pickup,6,15.0,19.0,17.0,4,no
934,TOYOTA Yaris,1.5,4,Auto-L4,2WD,Gasoline,small car,7,29.0,35.0,31.0,9,yes
935,TOYOTA Yaris,1.5,4,Man-5,2WD,Gasoline,small car,7,29.0,36.0,32.0,9,yes
936,VOLKSWAGEN Eos,2.0,4,Man-6,2WD,Gasoline,small car,7,21.0,29.0,24.0,7,yes
937,VOLKSWAGEN Eos,2.0,4,Auto-S6,2WD,Gasoline,small car,7,21.0,30.0,24.0,7,yes
938,VOLKSWAGEN Eos,3.2,6,Auto-S6,2WD,Gasoline,small car,6,19.0,26.0,22.0,6,no
939,VOLKSWAGEN GTI,2.0,4,Man-6,2WD,Gasoline,small car,7,21.0,29.0,24.0,7,yes
940,VOLKSWAGEN GTI,2.0,4,Auto-S6,2WD,Gasoline,small car,7,22.0,29.0,25.0,7,yes
941,VOLKSWAGEN Jetta,2.5,5,Man-5,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7,yes
942,VOLKSWAGEN Jetta,2.5,5,Auto-S6,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7,yes
943,VOLKSWAGEN Jetta,2.0,4,Man-6,2WD,Gasoline,small car,7,21.0,29.0,24.0,7,yes
944,VOLKSWAGEN Jetta,2.0,4,Auto-S6,2WD,Gasoline,small car,7,22.0,29.0,25.0,7,yes
945,VOLKSWAGEN Jetta,2.5,5,Man-5,2WD,Gasoline,small car,7,21.0,29.0,24.0,7,yes
946,VOLKSWAGEN Jetta,2.5,5,Auto-S6,2WD,Gasoline,small car,7,21.0,29.0,24.0,7,yes
947,VOLKSWAGEN Jetta Wagon,2.5,5,Man-5,2WD,Gasoline,station wagon,9.5,21.0,29.0,24.0,7,yes
948,VOLKSWAGEN Jetta Wagon,2.5,5,Auto-S6,2WD,Gasoline,station wagon,9.5,21.0,29.0,24.0,7,yes
949,VOLKSWAGEN Jetta Wagon,2.5,5,Man-5,2WD,Gasoline,station wagon,7,21.0,29.0,24.0,7,yes
950,VOLKSWAGEN Jetta Wagon,2.5,5,Auto-S6,2WD,Gasoline,station wagon,7,21.0,29.0,24.0,7,yes
951,VOLKSWAGEN New Beetle,2.5,5,Man-5,2WD,Gasoline,small car,9.5,20.0,28.0,23.0,7,yes
952,VOLKSWAGEN New Beetle,2.5,5,Auto-S6,2WD,Gasoline,small car,9.5,20.0,29.0,23.0,7,yes
953,VOLKSWAGEN New Beetle,2.5,5,Man-5,2WD,Gasoline,small car,7,20.0,28.0,23.0,7,yes
954,VOLKSWAGEN New Beetle,2.5,5,Auto-S6,2WD,Gasoline,small car,7,20.0,29.0,23.0,7,yes
955,VOLKSWAGEN New Beetle Convertible,2.5,5,Auto-S6,2WD,Gasoline,small car,9.5,20.0,28.0,23.0,7,yes
956,VOLKSWAGEN New Beetle Convertible,2.5,5,Man-5,2WD,Gasoline,small car,9.5,20.0,28.0,23.0,7,yes
957,VOLKSWAGEN New Beetle Convertible,2.5,5,Auto-S6,2WD,Gasoline,small car,7,20.0,28.0,23.0,7,yes
958,VOLKSWAGEN New Beetle Convertible,2.5,5,Man-5,2WD,Gasoline,small car,7,20.0,28.0,23.0,7,yes
959,VOLKSWAGEN Passat,2.0,4,Auto-S6,2WD,Gasoline,midsize car,7,19.0,28.0,22.0,6,yes
960,VOLKSWAGEN Passat,2.0,4,Man-6,2WD,Gasoline,midsize car,7,21.0,29.0,24.0,7,yes
961,VOLKSWAGEN Passat,3.6,6,Auto-S6,4WD,Gasoline,midsize car,6,16.0,24.0,19.0,5,no
962,VOLKSWAGEN Passat,3.6,6,Auto-S6,2WD,Gasoline,midsize car,6,17.0,26.0,20.0,6,no
963,VOLKSWAGEN Passat Wagon,2.0,4,Auto-S6,2WD,Gasoline,station wagon,7,20.0,28.0,23.0,7,yes
964,VOLKSWAGEN Passat Wagon,2.0,4,Man-6,2WD,Gasoline,station wagon,7,21.0,29.0,24.0,7,yes
965,VOLKSWAGEN Passat Wagon,3.6,6,Auto-S6,4WD,Gasoline,station wagon,6,16.0,24.0,19.0,5,no
966,VOLKSWAGEN R32,3.2,6,Auto-S6,4WD,Gasoline,small car,6,18.0,23.0,20.0,6,no
967,VOLKSWAGEN Rabbit,2.5,5,Auto-S6,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7,yes
968,VOLKSWAGEN Rabbit,2.5,5,Man-5,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes
969,VOLKSWAGEN Rabbit,2.5,5,Auto-S6,2WD,Gasoline,small car,7,21.0,29.0,24.0,7,yes
970,VOLKSWAGEN Rabbit,2.5,5,Man-5,2WD,Gasoline,small car,7,22.0,29.0,24.0,7,yes
971,VOLKSWAGEN Touareg,3.6,6,Auto-S6,4WD,Gasoline,SUV,6,14.0,20.0,16.0,4,no
972,VOLKSWAGEN Touareg,4.2,8,Auto-S6,4WD,Gasoline,SUV,6,12.0,17.0,14.0,2,no
973,VOLVO C30,2.4,5,Auto-S5,2WD,Gasoline,small car,7,20.0,28.0,23.0,7,yes
974,VOLVO C30,2.4,5,Man-5,2WD,Gasoline,small car,7,20.0,28.0,23.0,7,yes
975,VOLVO C30,2.5,5,Auto-S5,2WD,Gasoline,small car,7,19.0,27.0,22.0,6,yes
976,VOLVO C30,2.5,5,Man-6,2WD,Gasoline,small car,7,19.0,28.0,23.0,7,yes
977,VOLVO C70 Convertible,2.5,5,Auto-S5,2WD,Gasoline,small car,7,18.0,26.0,21.0,6,yes
978,VOLVO C70 Convertible,2.5,5,Man-6,2WD,Gasoline,small car,7,18.0,27.0,21.0,6,yes
979,VOLVO S40,2.4,5,Auto-S5,2WD,Gasoline,small car,9.5,20.0,28.0,23.0,7,yes
980,VOLVO S40,2.4,5,Auto-S5,2WD,Gasoline,small car,7,20.0,28.0,23.0,7,yes
981,VOLVO S40,2.4,5,Man-5,2WD,Gasoline,small car,7,20.0,28.0,23.0,7,yes
982,VOLVO S40,2.5,5,Man-6,4WD,Gasoline,small car,7,17.0,25.0,20.0,6,yes
983,VOLVO S40,2.5,5,Auto-S5,4WD,Gasoline,small car,7,18.0,26.0,21.0,6,yes
984,VOLVO S40,2.5,5,Auto-S5,2WD,Gasoline,small car,7,19.0,27.0,22.0,6,yes
985,VOLVO S40,2.5,5,Man-6,2WD,Gasoline,small car,7,19.0,28.0,23.0,7,yes
986,VOLVO S60,2.5,5,Auto-L5,4WD,Gasoline,small car,7,17.0,26.0,21.0,6,yes
987,VOLVO S60,2.5,5,Auto-S5,4WD,Gasoline,small car,7,18.0,26.0,21.0,6,yes
988,VOLVO S60,2.5,5,Auto-L5,2WD,Gasoline,small car,7,19.0,27.0,22.0,6,yes
989,VOLVO S60,2.5,5,Auto-S5,2WD,Gasoline,small car,7,19.0,27.0,22.0,6,yes
990,VOLVO S60,2.4,5,Auto-S5,2WD,Gasoline,small car,6,18.0,26.0,21.0,6,no
991,VOLVO S60,2.4,5,Man-6,2WD,Gasoline,small car,6,18.0,26.0,21.0,6,no
992,VOLVO S80,3.0,6,Auto-S6,4WD,Gasoline,midsize car,7,15.0,23.0,18.0,5,no
993,VOLVO S80,3.2,6,Auto-S6,2WD,Gasoline,midsize car,7,16.0,24.0,19.0,5,no
994,VOLVO S80,3.2,6,Auto-S6,4WD,Gasoline,midsize car,7,16.0,24.0,19.0,5,no
995,VOLVO S80,4.4,8,Auto-S6,4WD,Gasoline,midsize car,7,15.0,23.0,18.0,5,no
996,VOLVO V50,2.4,5,Auto-S5,2WD,Gasoline,station wagon,9.5,20.0,28.0,23.0,7,yes
997,VOLVO V50,2.4,5,Auto-S5,2WD,Gasoline,station wagon,7,20.0,28.0,23.0,7,yes
998,VOLVO V50,2.4,5,Man-5,2WD,Gasoline,station wagon,7,20.0,28.0,23.0,7,yes
999,VOLVO V50,2.5,5,Man-6,4WD,Gasoline,station wagon,7,17.0,25.0,20.0,6,yes
1000,VOLVO V50,2.5,5,Auto-S5,4WD,Gasoline,station wagon,7,18.0,26.0,21.0,6,yes
1001,VOLVO V50,2.5,5,Auto-S5,2WD,Gasoline,station wagon,7,19.0,27.0,22.0,6,yes
1002,VOLVO V50,2.5,5,Man-6,2WD,Gasoline,station wagon,7,19.0,28.0,23.0,7,yes
1003,VOLVO V70,3.2,6,Auto-S6,2WD,Gasoline,station wagon,7,16.0,24.0,19.0,5,no
1004,VOLVO XC 70,3.2,6,Auto-S6,4WD,Gasoline,SUV,7,15.0,22.0,17.0,4,no
1005,VOLVO XC 90,3.2,6,Auto-S6,2WD,Gasoline,SUV,7,14.0,20.0,16.0,4,no
1006,VOLVO XC 90,3.2,6,Auto-S6,4WD,Gasoline,SUV,7,14.0,20.0,16.0,4,no
1007,VOLVO XC 90,4.4,8,Auto-S6,4WD,Gasoline,SUV,7,13.0,19.0,15.0,3,no
1008,MERCEDES-BENZ C300,3.0,6,Auto-L7,2WD,ethanol,small car,6,13.0,19.0,15.0,7,no
1009,MERCEDES-BENZ C300,3.0,6,Auto-L7,2WD,gas,small car,4,18.0,25.0,21.0,6,no
