Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022245,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.4998000,4.8700000,648.0000000,0.0421000,,0.0654000,,13.6,MPG,11.3000000,13.3000000,17.2000000,,,,,60.339,0.05372,0.024328,8.376,-0.00750,0.023028,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022356,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0345000,0.2850000,617.0000000,0.0255000,0.0010000,0.0137000,0.0060000,14.4,MPG,14.8000000,13.1000000,17.3000000,,,,,54.853,0.04883,0.022116,7.614,-0.00830,0.020935,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022357,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0023000,0.0130000,333.0000000,0.0086000,,0.0003000,0.0010000,26.7,MPG,,,,,,,,54.853,0.04883,0.022116,7.614,-0.00830,0.020935,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,0,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,25.2,1,Not eqipped,HBMX10043924,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0009200,0.0829000,195.2600000,0.0019000,,0.0006600,,45.8,MPG,,,,,4.9550000,4.4800000,0.1200000,51.900,-0.19900,0.021880,21.000,0.25500,0.016120,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,0,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,25.2,1,Not eqipped,HBMX10044021,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0031900,0.1754000,293.7400000,0.0047000,,0.0006800,0.0019000,30.3,MPG,29.2000000,30.8000000,30.5000000,,0.3910000,-0.0400000,-0.5510000,51.900,-0.19900,0.021880,21.000,0.25500,0.016120,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,1,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,25.2,1,Not eqipped,HBMX91003278,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0035087,0.4549530,311.4590798,0.0065743,,0.0011827,,28.6,MPG,28.0684385,28.0578049,29.8209286,,-0.2851140,-0.2100910,-0.8835390,51.900,-0.19900,0.021880,21.000,0.25500,0.016120,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,1,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,25.2,1,Not eqipped,HBMX91003279,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0.0224097,189.5904212,0.0028590,,0.0000538,,46.9,MPG,,,,,2.5105750,1.7933160,-0.2867420,51.900,-0.19900,0.021880,21.000,0.25500,0.016120,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,2,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,24.8,1,Not eqipped,HBMX10043921,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0046500,0.4268000,285.8800000,0.0039000,,0.0009500,0.0012000,31.1,MPG,30.0000000,31.1000000,32.1000000,,0.4970000,0.3850000,-0.3730000,47.900,-0.21100,0.021890,15.500,0.27900,0.015740,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,2,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,24.8,1,Not eqipped,HBMX10043922,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0001400,0.0224000,185.5700000,0.0026000,,0,,48.0,MPG,,,,,0.9170000,0.6680000,-0.2200000,47.900,-0.21100,0.021890,15.500,0.27900,0.015740,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,3,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,24.8,1,Not eqipped,HBMX10043923,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0048400,0.2860000,306.3251000,0.0050000,,0.0015000,0.0011000,29.1,MPG,27.7000000,28.7000000,31.0000000,,0.5300000,0.3620000,-0.8980000,47.900,-0.21100,0.021890,15.500,0.27900,0.015740,TWC,Three-way catalyst,N,,,N,No averaging
