,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
0,ACURA RDX,3.5,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3,20.0,28.0,23.0,5,No
1,ACURA RDX,3.5,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3,19.0,27.0,22.0,4,No
2,ACURA TLX,2.4,4.0,AMS-8,2WD,Gasoline,small car,3,23.0,33.0,27.0,6,No
3,ACURA TLX,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3,20.0,32.0,24.0,5,No
4,ACURA TLX,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3,21.0,30.0,24.0,5,No
5,ACURA TLX AWD A-SPEC,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3,20.0,29.0,23.0,5,No
6,ACURA TLX FWD A-SPEC,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3,20.0,30.0,23.0,5,No
7,ALFA ROMEO 4C,1.8,4.0,AutoMan-6,2WD,Gasoline,small car,1,24.0,34.0,28.0,6,No
8,ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,midsize car,3,17.0,24.0,20.0,4,No
9,ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,midsize car,3,17.0,24.0,20.0,4,No
10,AUDI A3,2.0,4.0,AMS-6,4WD,Gasoline,small car,7,24.0,31.0,27.0,6,No
11,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,small car,7,26.0,35.0,29.0,6,No
12,AUDI A3 Cabriolet,2.0,4.0,AMS-6,4WD,Gasoline,small car,7,22.0,30.0,25.0,5,No
13,AUDI A3 Cabriolet,2.0,4.0,AMS-7,2WD,Gasoline,small car,7,25.0,33.0,28.0,6,No
14,AUDI A4,2.0,4.0,AMS-7,4WD,Gasoline,small car,5,24.0,34.0,27.0,6,No
15,AUDI A4,2.0,4.0,Man-6,4WD,Gasoline,small car,3,24.0,33.0,27.0,6,No
16,AUDI A4 Ultra,2.0,4.0,AMS-7,2WD,Gasoline,small car,3,27.0,37.0,31.0,7,Yes
17,AUDI A5,2.0,4.0,AMS-7,4WD,Gasoline,small car,5,24.0,34.0,27.0,6,No
18,AUDI A5,2.0,4.0,Man-6,4WD,Gasoline,small car,3,24.0,33.0,27.0,6,No
19,AUDI A5 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,small car,5,24.0,34.0,27.0,6,No
20,AUDI A5 Sportback quattro,2.0,4.0,AMS-7,4WD,Gasoline,midsize car,5,24.0,34.0,27.0,6,No
21,AUDI A6,2.0,4.0,AMS-7,2WD,Gasoline,midsize car,5,25.0,34.0,28.0,6,No
